St;Max;Anz1
6;16;9
7;52;17
8;8;4
9;52;20
10;16;7
11;52;15
12;16;10
13;40;10
14;52;18
15;160;18
16;16;5
17;52;13
18;52;21
19;88;21
20;20;8
21;64;8
22;52;16
23;160;16
24;24;11
25;88;24
26;40;11
27;9232;112
28;52;19
29;88;19
30;160;19
31;9232;107
32;32;6
33;100;27
34;52;14
35;160;14
36;52;22
37;112;22
38;88;22
39;304;35
40;40;9
41;9232;110
42;64;9
43;196;30
44;52;17
45;136;17
46;160;17
47;9232;105
48;48;12
49;148;25
50;88;25
51;232;25
52;52;12
53;160;12
54;9232;113
55;9232;113
56;56;20
57;196;33
58;88;20
59;304;33
60;160;20
61;184;20
62;9232;108
63;9232;108
64;64;7
65;196;28
66;100;28
67;304;28
68;68;15
69;208;15
70;160;15
71;9232;103
72;72;23
73;9232;116
74;112;23
75;340;15
76;88;23
77;232;23
78;304;36
79;808;36
80;80;10
81;244;23
82;9232;111
83;9232;111
84;84;10
85;256;10
86;196;31
87;592;31
88;88;18
89;304;31
90;136;18
91;9232;93
92;160;18
93;280;18
94;9232;106
95;9232;106
96;96;13
97;9232;119
98;148;26
99;448;26
100;100;26
 
