St;Max;St;Anz1
2;2;2;2
3;16;3;8
4;4;4;3
5;16;5;6
6;16;6;9
7;52;7;17
8;8;8;4
9;52;9;20
10;16;10;7
11;52;11;15
12;16;12;10
13;40;13;10
14;52;14;18
15;160;15;18
16;16;16;5
17;52;17;13
18;52;18;21
19;88;19;21
20;20;20;8
21;64;21;8
22;52;22;16
23;160;23;16
24;24;24;11
25;88;25;24
26;40;26;11
27;9232;27;112
28;52;28;19
29;88;29;19
30;160;30;19
31;9232;31;107
32;32;32;6
33;100;33;27
34;52;34;14
35;160;35;14
36;52;36;22
37;112;37;22
38;88;38;22
39;304;39;35
40;40;40;9
41;9232;41;110
42;64;42;9
43;196;43;30
44;52;44;17
45;136;45;17
46;160;46;17
47;9232;47;105
48;48;48;12
49;148;49;25
50;88;50;25
51;232;51;25
52;52;52;12
53;160;53;12
54;9232;54;113
55;9232;55;113
56;56;56;20
57;196;57;33
58;88;58;20
59;304;59;33
60;160;60;20
61;184;61;20
62;9232;62;108
63;9232;63;108
64;64;64;7
65;196;65;28
66;100;66;28
67;304;67;28
68;68;68;15
69;208;69;15
70;160;70;15
71;9232;71;103
72;72;72;23
73;9232;73;116
74;112;74;23
75;340;75;15
76;88;76;23
77;232;77;23
78;304;78;36
79;808;79;36
80;80;80;10
81;244;81;23
82;9232;82;111
83;9232;83;111
84;84;84;10
85;256;85;10
86;196;86;31
87;592;87;31
88;88;88;18
89;304;89;31
90;136;90;18
91;9232;91;93
92;160;92;18
93;280;93;18
94;9232;94;106
95;9232;95;106
96;96;96;13
97;9232;97;119
98;148;98;26
99;448;99;26
100;100;100;26
101;304;101;26
102;232;102;26
103;9232;103;88
104;104;104;13
105;808;105;39
106;160;106;13
107;9232;107;101
108;9232;108;114
109;9232;109;114
110;9232;110;114
111;9232;111;70
112;112;112;21
113;340;113;13
114;196;114;34
115;520;115;34
116;116;116;21
117;352;117;21
118;304;118;34
119;808;119;34
120;160;120;21
121;9232;121;96
122;184;122;21
123;628;123;47
124;9232;124;109
125;9232;125;109
126;9232;126;109
127;4372;127;47
128;128;128;8
129;9232;129;122
130;196;130;29
131;592;131;29
132;132;132;29
133;400;133;29
134;304;134;29
135;916;135;42
136;136;136;16
137;9232;137;91
138;208;138;16
139;628;139;42
140;160;140;16
141;424;141;16
142;9232;142;104
143;9232;143;104
144;144;144;24
145;9232;145;117
146;9232;146;117
147;9232;147;117
148;148;148;24
149;448;149;24
150;340;150;16
151;1024;151;16
152;152;152;24
153;520;153;37
154;232;154;24
155;9232;155;86
156;304;156;37
157;472;157;37
158;808;158;37
159;9232;159;55
160;160;160;11
161;9232;161;99
162;244;162;24
163;736;163;24
164;9232;164;112
165;9232;165;112
166;9232;166;112
167;9232;167;68
168;168;168;11
169;4372;169;50
170;256;170;11
171;9232;171;125
172;196;172;32
173;520;173;32
174;592;174;32
175;9232;175;81
176;176;176;19
177;532;177;32
178;304;178;32
179;808;179;32
180;180;180;19
181;544;181;19
182;9232;182;94
183;9232;183;94
184;184;184;19
185;628;185;45
186;280;186;19
187;952;187;45
188;9232;188;107
189;9232;189;107
190;9232;190;107
191;4372;191;45
192;192;192;14
193;9232;193;120
194;9232;194;120
195;9232;195;120
196;196;196;27
197;592;197;27
198;448;198;27
199;9232;199;120
200;200;200;27
201;1024;201;19
202;304;202;27
203;916;203;40
204;232;204;27
205;616;205;27
206;9232;206;89
207;9232;207;89
208;208;208;14
209;628;209;40
210;808;210;40
211;952;211;40
212;212;212;14
213;640;213;14
214;9232;214;102
215;9232;215;102
216;9232;216;115
217;736;217;27
218;9232;218;115
219;1672;219;53
220;9232;220;115
221;9232;221;115
222;9232;222;71
223;9232;223;71
224;224;224;22
225;4372;225;53
226;340;226;14
227;1024;227;14
228;228;228;35
229;688;229;35
230;520;230;35
231;9232;231;128
232;232;232;22
233;9232;233;84
234;352;234;22
235;9232;235;128
236;304;236;35
237;712;237;35
238;808;238;35
239;9232;239;53
240;240;240;22
241;724;241;22
242;9232;242;97
243;9232;243;97
244;244;244;22
245;736;245;22
246;628;246;48
247;1672;247;48
248;9232;248;110
249;952;249;48
250;9232;250;110
251;9232;251;66
252;9232;252;110
253;9232;253;110
254;4372;254;48
255;13120;255;48
256;256;256;9
257;9232;257;123
258;9232;258;123
259;9232;259;123
260;260;260;30
261;784;261;30
262;592;262;30
263;9232;263;79
264;264;264;30
265;9232;265;123
266;400;266;30
267;1204;267;22
268;304;268;30
269;808;269;30
270;916;270;43
271;2752;271;43
272;272;272;17
273;820;273;30
274;9232;274;92
275;9232;275;92
276;276;276;17
277;832;277;17
278;628;278;43
279;1888;279;43
280;280;280;17
281;952;281;43
282;424;282;17
283;9232;283;61
284;9232;284;105
285;9232;285;105
286;9232;286;105
287;4372;287;43
288;288;288;25
289;868;289;30
290;9232;290;118
291;9232;291;118
292;9232;292;118
293;9232;293;118
294;9232;294;118
295;2248;295;56
296;296;296;25
297;9232;297;74
298;448;298;25
299;9232;299;118
300;340;300;17
301;904;301;17
302;1024;302;17
303;3076;303;43
304;304;304;25
305;916;305;38
306;520;306;38
307;1384;307;38
308;308;308;25
309;928;309;25
310;9232;310;87
311;9232;311;87
312;312;312;38
313;9232;313;131
314;472;314;38
315;1600;315;38
316;808;316;38
317;952;317;38
318;9232;318;56
319;9232;319;56
320;320;320;12
321;964;321;25
322;9232;322;100
323;9232;323;100
324;324;324;25
325;976;325;25
326;736;326;25
327;9232;327;144
328;9232;328;113
329;1672;329;51
330;9232;330;113
331;1492;331;25
332;9232;332;113
333;9232;333;113
334;9232;334;69
335;9232;335;69
336;336;336;12
337;9232;337;113
338;4372;338;51
339;4372;339;51
340;340;340;12
341;1024;341;12
342;9232;342;126
343;9232;343;126
344;344;344;33
345;9232;345;126
346;520;346;33
347;9232;347;126
348;592;348;33
349;1048;349;33
350;9232;350;82
351;9232;351;82
352;352;352;20
353;9232;353;126
354;532;354;33
355;1600;355;33
356;356;356;33
357;1072;357;33
358;808;358;33
359;9232;359;51
360;360;360;20
361;2752;361;46
362;544;362;20
363;1636;363;46
364;9232;364;95
365;9232;365;95
366;9232;366;95
367;4192;367;46
368;368;368;20
369;1108;369;20
370;628;370;46
371;1672;371;46
372;372;372;20
373;1120;373;20
374;952;374;46
375;2536;375;46
376;9232;376;108
377;9232;377;64
378;9232;378;108
379;2752;379;59
380;9232;380;108
381;9232;381;108
382;4372;382;46
383;13120;383;46
384;384;384;15
385;1156;385;33
386;9232;386;121
387;9232;387;121
388;9232;388;121
389;9232;389;121
390;9232;390;121
391;9232;391;121
392;392;392;28
393;2248;393;59
394;592;394;28
395;9232;395;77
396;448;396;28
397;1192;397;28
398;9232;398;121
399;9232;399;121
400;400;400;28
401;1204;401;20
402;1024;402;20
403;1816;403;20
404;404;404;28
405;1216;405;28
406;916;406;41
407;2752;407;41
408;408;408;28
409;1384;409;41
410;616;410;28
411;9232;411;134
412;9232;412;90
413;9232;413;90
414;9232;414;90
415;9232;415;134
416;416;416;15
417;9232;417;134
418;628;418;41
419;1888;419;41
420;808;420;41
421;1264;421;41
422;952;422;41
423;3220;423;33
424;424;424;15
425;9232;425;59
426;640;426;15
427;2752;427;54
428;9232;428;103
429;9232;429;103
430;9232;430;103
431;4372;431;41
432;9232;432;116
433;1300;433;28
434;736;434;28
435;1960;435;28
436;9232;436;116
437;9232;437;116
438;1672;438;54
439;2968;439;54
440;9232;440;116
441;1492;441;28
442;9232;442;116
443;2248;443;54
444;9232;444;72
445;9232;445;72
446;9232;446;72
447;39364;447;98
448;448;448;23
449;9232;449;116
450;4372;450;54
451;4372;451;54
452;452;452;15
453;1360;453;15
454;1024;454;15
455;3076;455;41
456;456;456;36
457;9232;457;129
458;688;458;36
459;9232;459;129
460;520;460;36
461;1384;461;36
462;9232;462;129
463;9232;463;129
464;464;464;23
465;1396;465;36
466;9232;466;85
467;9232;467;85
468;468;468;23
469;1408;469;23
470;9232;470;129
471;9232;471;129
472;472;472;36
473;1600;473;36
474;712;474;36
475;3616;475;28
476;808;476;36
477;1432;477;36
478;9232;478;54
479;9232;479;54
480;480;480;23
481;2752;481;49
482;724;482;23
483;2176;483;23
484;9232;484;98
485;9232;485;98
486;9232;486;98
487;9232;487;142
488;488;488;23
489;4192;489;49
490;736;490;23
491;9232;491;142
492;628;492;49
493;1480;493;49
494;1672;494;49
495;14308;495;98
496;9232;496;111
497;1492;497;23
498;952;498;49
499;2248;499;49
500;9232;500;111
501;9232;501;111
502;9232;502;67
503;9232;503;67
504;9232;504;111
505;2752;505;62
506;9232;506;111
507;2896;507;36
508;4372;508;49
509;4372;509;49
510;13120;510;49
511;39364;511;62
512;512;512;10
513;1540;513;36
514;9232;514;124
515;9232;515;124
516;9232;516;124
517;9232;517;124
518;9232;518;124
519;3508;519;62
520;520;520;31
521;9232;521;124
522;784;522;31
523;9232;523;124
524;592;524;31
525;1576;525;31
526;9232;526;80
527;9232;527;80
528;528;528;31
529;1588;529;31
530;9232;530;124
531;9232;531;124
532;532;532;31
533;1600;533;31
534;1204;534;23
535;3616;535;23
536;536;536;31
537;1816;537;23
538;808;538;31
539;9232;539;49
540;916;540;44
541;1624;541;44
542;2752;542;44
543;9232;543;137
544;544;544;18
545;1636;545;44
546;820;546;31
547;2464;547;31
548;9232;548;93
549;9232;549;93
550;9232;550;93
551;4192;551;44
552;552;552;18
553;9232;553;137
554;832;554;18
555;2500;555;31
556;628;556;44
557;1672;557;44
558;1888;558;44
559;8080;559;88
560;560;560;18
561;1684;561;44
562;952;562;44
563;2536;563;44
564;564;564;18
565;1696;565;18
566;9232;566;62
567;9232;567;62
568;9232;568;106
569;2752;569;57
570;9232;570;106
571;2896;571;31
572;9232;572;106
573;9232;573;106
574;4372;574;44
575;13120;575;44
576;576;576;26
577;1732;577;31
578;868;578;31
579;2608;579;31
580;9232;580;119
581;9232;581;119
582;9232;582;119
583;3940;583;31
584;9232;584;119
585;2968;585;57
586;9232;586;119
587;9232;587;119
588;9232;588;119
589;9232;589;119
590;2248;590;57
591;5992;591;57
592;592;592;26
593;9232;593;75
594;9232;594;75
595;9232;595;75
596;596;596;26
597;1792;597;26
598;9232;598;119
599;9232;599;119
600;600;600;18
601;4372;601;57
602;904;602;18
603;5812;603;70
604;1024;604;18
605;1816;605;18
606;3076;606;44
607;9232;607;44
608;608;608;26
609;9232;609;132
610;916;610;39
611;2752;611;39
612;612;612;39
613;1840;613;39
614;1384;614;39
615;10528;615;70
616;616;616;26
617;9232;617;132
618;928;618;26
619;9232;619;132
620;9232;620;88
621;9232;621;88
622;9232;622;88
623;9232;623;132
624;624;624;39
625;1876;625;26
626;9232;626;132
627;9232;627;132
628;628;628;39
629;1888;629;39
630;1600;630;39
631;4264;631;39
632;808;632;39
633;3616;633;31
634;952;634;39
635;3220;635;31
636;9232;636;57
637;9232;637;57
638;9232;638;57
639;41524;639;132
640;640;640;13
641;2752;641;52
642;964;642;26
643;2896;643;26
644;9232;644;101
645;9232;645;101
646;9232;646;101
647;4372;647;39
648;648;648;26
649;9232;649;145
650;976;650;26
651;9232;651;101
652;736;652;26
653;1960;653;26
654;9232;654;145
655;9232;655;145
656;9232;656;114
657;1972;657;52
658;1672;658;52
